These are awesome!!,"
  I’ve held off on Apple’s ear buds for a while because hard plastic ones always hurt my ears. Ive been wanting some truly wireless earbuds for a while. I was planning on getting a new Apple watch to replace my 1st gen watch that was ready keel over and saw that the watch 5 would support these ear buds. I decided to give it a try. At first my ears ached a little but I made sure that they just rested in my ears versus cramming them in like you have too with silicone ones. I’ve gotten used to them now and they have become a huge part of my day now. I wear them at work listening to audiobooks and music, at home when I’m doing drawing, crafting, or cleaning the house. Ive only come close to running them dry once at work. Normally, i take a break every couple hours and pop then in their case to charge out of habit. I come from using $30 earbuds for years so the sound quality of these is absolutely mind blowing. And they cancel out noises and distractions very well. Mine were brand new from Amazon directly and in original sealed packaging. So I didn't have the gross issues that another person had with being sold a used product for the price of a new one. Got to watch out for those vendors sometimes. 😕
",5.0 out of 5 stars,Geekin
Pretty Alright Headphones!,"
  For the longest time, I didn’t want to get these because I found that they looked ridiculous and honestly - they really do. However, I do partially get the hype around them as it charges fast, lasts a long time, and the sound quality itself is pretty alright.",4.0 out of 5 stars,Yajaira
Buyer beware !!!!!!,"
  SUPER disappointed. Got these for my teenager. Was excited because they were on lighting deal. They’re not LEGIT REAL apple pods. They advertise wireless which they are not. Legit apple products come in the apple box WITH plastic wrap sealed MINE DID NOT. I’m furious and my daughter IS heartbroken cuz NOWWWW I need to return these NOT FOR FREE on Monday when I get to work. SUPER disappointed
",1.0 out of 5 stars,JACKiE
"There's lot of bugs with android devices connection,  but there's solution:","
  I've used the first generation of airpods for more than a year and it worked fine with my Galaxy device.",3.0 out of 5 stars,Yitzhak B.
IN LOVE,"
  I love these so much! I love the fact that the case itself charges when you return them. When you lift the lid, it will tell the battery life on your phone of each piece as well as the case. These are super easy to set up on your phone. I love the fact that you can set it up on ""Find My Device"". My cat decided to knock mine off in the floor and I was able to find them with the beeping/ringing sound it makes when you activate on your phone to find it. It makes it easy to answer calls when you don't have your phone on you, switch songs, as well as using SIRI. It is by far the best earbuds I've owned. I highly recommend.
",5.0 out of 5 stars,Charity
Worst Experience with Amazon. I got USED AIRPODS!,"
  This is the first time I have a really bad experience with Amazon. My wife gave me a present for Father's day, a pair of Airpods 2, since I'm a Apple fan, from the start I notice something weird, the box didn't have the plastic wrap, the airpods case wasn't shinny new, had scratches all over, it looks like a refurbish product but was bought as new (whole price $169).",1.0 out of 5 stars,Shu
"Good sound, and convenient to use","
  Seeing that this is an Apple product, it was guaranteed that I'd end up buying it just shortly before the next generation product was released... but that's a common hazard, with Apple products... and it's how they get you to keep buying more.",4.0 out of 5 stars,Norman B. Bernstein
Beautiful Music,"
  WoW, the sound quality!! I’ve been a skull candy (from Marshall’s) girl for years, but these are the best I’ve experienced.",4.0 out of 5 stars,GoForGirl
Just a brand name,"
  Out the box these don’t feel like there quality. My first pair of AirPods and I would say there worth it as long as you understand your mainly buying into a brand. But if you expect 200$ worth of wireless headphones than this wouldn’t be the right place. Be wary of these things, they give me headaches and sometimes I will notice a high pitched buzzing noise if I leave them in my ear without playing music.
",3.0 out of 5 stars,Geo
Do yourself a favor,"
  Best purchase you’ll ever make. I’ll never go back to “broke pods” again haha (earphone with wires). You don’t need the noise cancelling ones. These do great job and provide great sound.",5.0 out of 5 stars,Kit Larson
